name,latitude,longitude
kbyJYJzqEVkEmpc,13.022860036406271,77.6889113638505
qbgufTPzZEkxNHV,13.093674816189669,77.70277883001796
XWIXkuyDacCmsaE,12.902878648292315,77.63320683133851
PWMPzEhgQSIJFtLl,12.864532497107326,77.73143549579069
PWMPzEhgQSIJFtL,12.865321165438637,77.7314729992191
MHveToenbpcMPeW,13.070456018571468,77.61095504838325
WItnvWIntfoiilf,13.002355807337722,77.68354833818422
DPjNIjFDGUdRaNP,12.98265490445029,77.59337744207735
SMLuzwDVgJxZDJm,13.065281841410734,77.47249963352621
vAbbuCYbFLCXICj,12.990463234256683,77.67294947673729
rLfczOfLhEoRnGZ,12.909937845030036,77.68557472225271
edieHBeImKgBQAJ,12.938959131040832,77.46586954486291
GOwLhWmXEfYOmVX,12.901291142437978,77.67374439217214
orOQKFbRAoHeqcJ,12.889252276801471,77.59694536804952
CdWAxHeYVjKBRoq,13.093738229959008,77.71307803700402
lqKiDFBZBTWUez,12.983261295304194,77.67860107706478
lqKiDFBZBTWXUez,12.98372612827221,77.67840867602989
eNmJDTcGphYUOiL,12.90105404569474,77.72835216668719
sjislLxiXZmXLXrA,12.873688787580445,77.50616775642054
sjislLxiXZmXLXr,12.874079493237168,77.50552922468972
PMiOQVrAkdXaIku,12.999143465806814,77.6242709621707
tnbuHQPEFCTHbM,12.990843895648302,77.5440597112632
KtnbuHQPEFCTHbM,12.99117668224228,77.54470053564766
XLAftyVglwWYsGW,12.91219248439651,77.73902379020363
rZxvAzqBqmxjOvp,13.082419121567929,77.49799200257667
zQDGraifUKPvJXrh,12.912486140806315,77.7199094108049
zQDGraifUKPvJXr,12.912090285613802,77.72061060421989
nDUUMkFmhvWSeKA,12.999385526105842,77.52447072691433
pTSAacswfCkLTrH,12.878808961138802,77.59037237914158
LnDIkeWZGiDzBbG,12.951539591047544,77.47294796577847
ChJfRzoluYXLLJA,12.8882750559302,77.6045936367366
SwTyWHAtgBNNwyO,12.983947369705833,77.65270791483387
kpkmIKHoUVIufgD,12.988933299672844,77.6135886686879
IcpEXtdzmmRLCWr,12.878666224798664,77.58388550743625
AjpQlKTWzTIbhZR,12.995080173448487,77.65264226480396
fsJxXgslhutMiTc,12.89721099801046,77.54057680717833
KdyidcbCRDnYnmN,12.87863062732313,77.61571364347697
QFXbeahTXokzxXE,12.865956458252535,77.7382320646334
IcDAjGOxTMfSHPF,13.009243799656282,77.47278516130243
TVAaGCcKLfPKBSc,13.038364959722797,77.65188765834407
ZqYiEiXtnNdnMQd,12.890396541175786,77.51178720489396
skziWqCsJpYkKUr,13.05053951541846,77.5644645133722
EzXfmMXrcmOPODa,13.094561099592813,77.70123553132788
osLsWAOQUdGDZYQ,12.996804308584515,77.67688770773503
xaxGBTpqceCpeQo,13.082417744951508,77.48956202410079
vowfjrCAhFjsuFU,13.094635211576126,77.67534984195395
sTPYKDcRDklHquz,13.060097162171068,77.5292802194977
hERpHEmvMnatBqq,12.957686677642144,77.44905194090286
lwzJQhDNjFeZaGu,13.0839943020055,77.64385892644782
ZtGYasvPbFraLKt,12.941266632251436,77.45607967243131
scHiTOxyvnkkeoK,13.079364414475078,77.54146125669205
kDCpRTCvAAxSHki,12.920466687436784,77.46194735287851
IiUaIKLepwZKsK,12.910422441231065,77.59244420713948
IiUaIKLepwZlKsK,12.91128729120406,77.59196143907485
YThcnZeITZSBWti,13.061704191299947,77.46981109255367
UGMWtjvSRqgJVnG,13.017528953796576,77.62423507924213
OUidkjxBLedTuHH,13.041627852440817,77.72598449428236
izdTHTBEbYaEgOX,13.033651630319612,77.71765686327974
PUEPIdrCLOanVoe,12.99804690574572,77.62951874620994
AHzXGncOYekvbc,12.906721488679834,77.703402737544
AHzXGncOYekMvbc,12.905894120524152,77.70314403967068
wUimqZxiywwEpgW,12.870097156197234,77.561422159409
WmrWTJjSeoDNKrY,13.052554034724048,77.72506751778647
PSKniQjkACaYDAF,12.854642265109044,77.5179598672417
ldVvnlZYRRQIARe,13.00623614473353,77.64876609500438
zXFOuQMpUCQNvwN,13.001475807423242,77.55459404363185
cfCcavzCtxehzgB,13.016351065442011,77.71404579925819
bYYGjWYrhFUbeMw,13.09147894409711,77.64326136511889
RDRnTMfmYfSiWLa,12.873426272892434,77.5921946937887
DkRreiaFouYeugQi,13.028659386729384,77.50803626398752
DkRreiaFouYeugQ,13.028495876891585,77.50866651128297
UhTpjPyNxMNPLTu,12.964336643381412,77.61389928547896
ZMBcVAKMKMvEWGe,13.080471963574963,77.54533922401212
FJPspVZZjtCpGhD,12.963957957891685,77.5837200103863
VVYyShvmxawkABS,12.99987048203448,77.55501223440146
FtLcazuLGZorHIp,12.904325943557756,77.56540885997418
